signature,rank,score,perturbation,pert_id,cell_line,dose_um,time_h,overlap_up,overlap_dn
FUS_KO,32,0.0472,-666,BRD-K77547920,VCAP,10.0,24.0,,
FUS_KO,33,0.0472,-666,BRD-A93236127,A549,10.0,24.0,,
FUS_KO,34,0.0472,-666,BRD-K96076993,A375,10.0,6.0,,
FUS_KO,35,0.0472,JNK-IN-5A,BRD-K76401790,HEPG2,10,24,,
FUS_KO,36,0.0472,pelitinib,BRD-K08799216,HA1E,10,24,,
FUS_KO,37,0.0472,PLX-4720,BRD-K16478699,HEPG2,10,24,,
FUS_KO,38,0.0472,JNK-9L,BRD-K19220233,A375,10,24,,
FUS_KO,39,0.0472,QL-XII-47,BRD-K99252563,A549,10,24,,
FUS_KO,40,0.0472,withaferin-a,BRD-K88378636,MCF7,10,24,,
FUS_KO,41,0.0472,withaferin-a,BRD-K88378636,SKBR3,3.33,24,,
FUS_KO,42,0.0472,AZ20,BRD-K42436189,A375,3.33,24,,
FUS_KO,43,0.0425,SERICETIN DIMETHYL ETHER,BRD-K08714182,VCAP,10.0,24.0,,
FUS_KO,44,0.0425,PERIPLOCYMARIN,BRD-A45333398,A549,10.0,6.0,,
FUS_KO,45,0.0425,BI 2536,BRD-K64890080,CORL23,10.0,6.0,,
FUS_KO,46,0.0425,PNU 74654,BRD-K30707190,HEPG2,80.0,6.0,,
FUS_KO,47,0.0425,ABT-751,BRD-K91623615,MCF7,10.0,24.0,,
FUS_KO,48,0.0425,4-Demethoxydaunorubicin hydrochloride (65),BRD-A71390734,NCIH2073,0.08,6.0,,
FUS_KO,49,0.0425,Narciclasine,BRD-K06792661,PC3,10.0,6.0,,
FUS_KO,50,0.0425,-666,BRD-A36630025,SW620,0.35,6.0,,
FUS_R495X,1,0.0688,WZ-4-145,BRD-U61997977,HME1,3.33,24,,
FUS_R495X,2,0.0688,selumetinib,BRD-K57080016,HME1,10,24,,
FUS_R495X,3,0.0635,YM-155,BRD-K76703230,PC3,0.31,24.0,,
FUS_R495X,4,0.0635,trametinib,BRD-K12343256,A549,3.33,24,,
FUS_R495X,5,0.0635,WZ-4-145,BRD-U61997977,HME1,1.11,24,,
FUS_R495X,6,0.0582,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,24.0,,
FUS_R495X,7,0.0582,-666,BRD-K04853698,MCF7,10.0,6.0,,
FUS_R495X,8,0.0582,PLX-4720,BRD-K16478699,HEPG2,10,24,,
FUS_R495X,9,0.0529,-666,BRD-A36630025,MCF7,0.35,24.0,,
FUS_R495X,10,0.0529,528116.cdx,BRD-K49371609,MCF7,0.09,24.0,,
FUS_R495X,11,0.0529,-666,BRD-K05153001,A549,10.0,24.0,,
FUS_R495X,12,0.0529,VU0415113-1,BRD-K49183052,HEPG2,10.0,6.0,,
FUS_R495X,13,0.0529,-666,BRD-K92317137,MCF7,10.0,24.0,,
FUS_R495X,14,0.0529,WYE-125132,BRD-A45498368,A549,0.37,24,,
FUS_R495X,15,0.0476,Cycloheximide,BRD-A62184259,HCC515,10.0,6.0,,
FUS_R495X,16,0.0476,Importazole,BRD-A02481876,A549,60.0,6.0,,
FUS_R495X,17,0.0476,MW-ras12,BRD-A36275421,A549,10.0,6.0,,
FUS_R495X,18,0.0476,"""""""Ingenol 3, 20-dibenzoate""""""",BRD-A52650764,HCC515,10.0,24.0,,
FUS_R495X,19,0.0476,-666,BRD-K04853698,HT29,10.0,6.0,,
FUS_R495X,20,0.0476,auranofin,BRD-A79465854,MCF7,10.0,24.0,,
FUS_R495X,21,0.0476,-666,BRD-K92317137,MCF7,10.0,24.0,,
FUS_R495X,22,0.0476,MLN2238,BRD-K78659596,PC3,10.0,24.0,,
FUS_R495X,23,0.0476,-666,BRD-K04853698,PC3,10.0,6.0,,
FUS_R495X,24,0.0476,DG-041,BRD-K33272502,SW620,40.0,6.0,,
FUS_R495X,25,0.0476,-666,BRD-K48654774,HEPG2,10.0,6.0,,
FUS_R495X,26,0.0476,-666,BRD-K55722623,MCF7,10.0,24.0,,
FUS_R495X,27,0.0476,-666,BRD-K56196992,NPC,10.0,24.0,,
FUS_R495X,28,0.0476,-666,BRD-K63606607,A549,10.0,24.0,,
FUS_R495X,29,0.0476,-666,BRD-K98824517,A375,10.0,6.0,,
FUS_R495X,30,0.0476,trichostatin A,BRD-A19037878,PC3,10.0,6.0,,
FUS_R495X,31,0.0476,JNK-IN-5A,BRD-K76401790,HEPG2,10,24,,
FUS_R495X,32,0.0476,PF-477736,BRD-K03063480,HEPG2,3.33,24,,
FUS_R495X,33,0.0476,withaferin-a,BRD-K88378636,MCF10A,10,24,,
FUS_R495X,34,0.0476,AS-605240,BRD-K41895714,MCF10A,10,24,,
FUS_R495X,35,0.0476,WYE-125132,BRD-A45498368,MCF10A,0.12,24,,
FUS_R495X,36,0.0476,PD-0325901,BRD-K49865102,MCF10A,1.11,24,,
FUS_R495X,37,0.0476,QL-XII-47,BRD-K99252563,SKBR3,10,24,,
FUS_R495X,38,0.0423,TENIPOSIDE,BRD-A35588707,HCC515,10.0,24.0,,
FUS_R495X,39,0.0423,Cycloheximide,BRD-A62184259,HCC515,10.0,24.0,,
FUS_R495X,40,0.0423,-666,BRD-K92317137,A549,10.0,24.0,,
FUS_R495X,41,0.0423,-666,BRD-K17140735,A549,11.1,6.0,,
FUS_R495X,42,0.0423,vorinostat,BRD-K81418486,A673,11.1,6.0,,
FUS_R495X,43,0.0423,-666,BRD-A81541225,HEPG2,10.0,6.0,,
FUS_R495X,44,0.0423,-666,BRD-K04853698,HT115,10.0,6.0,,
FUS_R495X,45,0.0423,"Ingenol 3, 20-dibenzoate",BRD-A52650764,MCF7,10.0,24.0,,
FUS_R495X,46,0.0423,ABT-751,BRD-K91623615,MCF7,10.0,24.0,,
FUS_R495X,47,0.0423,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,SW620,10.0,6.0,,
FUS_R495X,48,0.0423,"Ingenol 3, 20-dibenzoate",BRD-A52650764,SW620,10.0,6.0,,
FUS_R495X,49,0.0423,METHYLENE BLUE,BRD-K16406336,SW620,10.0,6.0,,
FUS_R495X,50,0.0423,LY-2183240,BRD-K37865504,SW620,10.0,6.0,,
FUS_P525L_heteroz,1,0.0867,Narciclasine,BRD-K06792661,PC3,10.0,6.0,,
FUS_P525L_heteroz,2,0.0816,Emetine Dihydrochloride Hydrate (74),BRD-K01976263,VCAP,0.63,6.0,,
FUS_P525L_heteroz,3,0.0663,Importazole,BRD-A02481876,A549,60.0,6.0,,
FUS_P525L_heteroz,4,0.0663,PERHEXILINE MALEATE,BRD-A19633847,SNUC5,10.0,6.0,,
FUS_P525L_heteroz,5,0.0663,-666,BRD-K92317137,HEPG2,10.0,6.0,,
FUS_P525L_heteroz,6,0.0663,wortmannin,BRD-A75409952,PC3,10.0,6.0,,
FUS_P525L_heteroz,7,0.0663,S1130,BRD-K24681473,HT29,10.0,6.0,,
FUS_P525L_heteroz,8,0.0663,-666,BRD-K39987650,MCF7,10.0,24.0,,
FUS_P525L_heteroz,9,0.0663,foretinib,BRD-K03449891,PC3,10,24,,
FUS_P525L_heteroz,10,0.0663,sorafenib,BRD-K23984367,A549,10,24,,
FUS_P525L_heteroz,11,0.0663,PI-103,BRD-K67868012,PC3,1.11,24,,
FUS_P525L_heteroz,12,0.0612,Homoharringtonine,BRD-K76674262,PC3,10.0,24.0,,
FUS_P525L_heteroz,13,0.0612,Cycloheximide,BRD-A62184259,PC3,10.0,6.0,,
FUS_P525L_heteroz,14,0.0612,-666,BRD-K19295594,A549,11.1,6.0,,
FUS_P525L_heteroz,15,0.0612,"2-Dichloromethyl-4-ethylsulfanyl-6-phenyl-[1,3,5]triazine MLS-0208612.0001",BRD-K53932786,HCC515,10.0,6.0,,
FUS_P525L_heteroz,16,0.0612,-666,BRD-K81795824,PC3,10.0,24.0,,
FUS_P525L_heteroz,17,0.0612,C8273,BRD-K25504083,MCF7,10.0,24.0,,
FUS_P525L_heteroz,18,0.0612,F1566-0341,BRD-K69852452,MCF7,10.0,6.0,,
FUS_P525L_heteroz,19,0.0612,-666,BRD-K92428153,MCF7,10.0,24.0,,
FUS_P525L_heteroz,20,0.0612,-666,BRD-A62184259,A549,10.0,6.0,,
FUS_P525L_heteroz,21,0.0612,withaferin-a,BRD-K88378636,MCF10A,10,24,,
FUS_P525L_heteroz,22,0.0612,GSK-2126458,BRD-K42918627,MCF10A,1.11,24,,
FUS_P525L_heteroz,23,0.0561,Homoharringtonine,BRD-K76674262,HCC515,10.0,24.0,,
FUS_P525L_heteroz,24,0.0561,Anisomycin,BRD-K91370081,HCC515,10.0,6.0,,
FUS_P525L_heteroz,25,0.0561,EMETINE,BRD-A25687296,HCC515,10.0,6.0,,
FUS_P525L_heteroz,26,0.0561,Cycloheximide,BRD-A62184259,HCC515,10.0,6.0,,
FUS_P525L_heteroz,27,0.0561,CYCLOHEXIMIDE,BRD-K36055864,HCC515,10.0,6.0,,
FUS_P525L_heteroz,28,0.0561,BVT 948,BRD-A22713669,PC3,10.0,24.0,,
FUS_P525L_heteroz,29,0.0561,Narciclasine,BRD-K06792661,A549,10.0,6.0,,
FUS_P525L_heteroz,30,0.0561,Arachidonyl trifluoro-methyl ketone,BRD-K07303502,A549,80.0,6.0,,
FUS_P525L_heteroz,31,0.0561,Ro 28-1675 ?,BRD-K21672174,A549,160.0,6.0,,
FUS_P525L_heteroz,32,0.0561,Ursolic Acid,BRD-K68185022,A549,70.07,6.0,,
FUS_P525L_heteroz,33,0.0561,Emetine Dihydrochloride Hydrate (74),BRD-K01976263,HCC15,0.63,6.0,,
FUS_P525L_heteroz,34,0.0561,Narciclasine,BRD-K06792661,HT115,10.0,6.0,,
FUS_P525L_heteroz,35,0.0561,-666,BRD-K92317137,HT29,10.0,6.0,,
FUS_P525L_heteroz,36,0.0561,Importazole,BRD-A02481876,MCF7,60.0,24.0,,
FUS_P525L_heteroz,37,0.0561,"Ingenol 3, 20-dibenzoate",BRD-A52650764,MCF7,10.0,6.0,,
FUS_P525L_heteroz,38,0.0561,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,SW948,10.0,6.0,,
FUS_P525L_heteroz,39,0.0561,PX12,BRD-A56592690,VCAP,30.0,6.0,,
FUS_P525L_heteroz,40,0.0561,-666,BRD-U86922168,PC3,10.0,6.0,,
FUS_P525L_heteroz,41,0.0561,X0379,BRD-K77390737,VCAP,10.0,24.0,,
FUS_P525L_heteroz,42,0.0561,-666,BRD-K91370081,A549,10.0,6.0,,
FUS_P525L_heteroz,43,0.0561,-666,BRD-K23478508,A549,10.0,6.0,,
FUS_P525L_heteroz,44,0.0561,-666,BRD-K91145395,MCF7,10.0,6.0,,
FUS_P525L_heteroz,45,0.0561,vorinostat,BRD-K81418486,PC3,10.0,6.0,,
FUS_P525L_heteroz,46,0.0561,PLX-4720,BRD-K16478699,HEPG2,10,24,,
FUS_P525L_heteroz,47,0.0561,entinostat,BRD-K77908580,PC3,0.37,24,,
FUS_P525L_heteroz,48,0.0561,WZ-3105,BRD-K92571446,HT29,0.37,24,,
FUS_P525L_heteroz,49,0.0561,torin-1,BRD-K40175214,HS578T,10,24,,
FUS_P525L_heteroz,50,0.0561,QL-XII-47,BRD-K99252563,MCF10A,10,3,,
FUS_P525L_homoz,1,0.0569,Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HA1E,80.0,6.0,,
FUS_P525L_homoz,2,0.0569,Importazole,BRD-A02481876,MCF7,60.0,24.0,,
FUS_P525L_homoz,3,0.0569,WZ-3105,BRD-K92571446,A549,10,24,,
FUS_P525L_homoz,4,0.0521,cercosporin,BRD-A78360835,A549,10.0,24.0,,
FUS_P525L_homoz,5,0.0521,-666,BRD-K98824517,A375,10.0,6.0,,
FUS_P525L_homoz,6,0.0521,CGP-60474,BRD-K79090631,A549,0.37,24,,
FUS_P525L_homoz,7,0.0521,WZ-3105,BRD-K92571446,HCC515,0.12,24,,
FUS_P525L_homoz,8,0.0521,CGP-60474,BRD-K79090631,HT29,1.11,24,,
FUS_P525L_homoz,9,0.0521,BMS-387032,BRD-K43389698,LNCAP,1.11,24,,
FUS_P525L_homoz,10,0.0521,JNK-9L,BRD-K19220233,LNCAP,3.33,24,,
FUS_P525L_homoz,11,0.0521,withaferin-a,BRD-K88378636,PC3,10,24,,
FUS_P525L_homoz,12,0.0474,gemcitabine,BRD-K15108141,A375,0.08,24.0,,
FUS_P525L_homoz,13,0.0474,-666,BRD-K92317137,A375,10.0,6.0,,
FUS_P525L_homoz,14,0.0474,YM-155,BRD-K76703230,A673,0.31,6.0,,
FUS_P525L_homoz,15,0.0474,-666,BRD-K92317137,RMUGS,10.0,6.0,,
FUS_P525L_homoz,16,0.0474,-666,BRD-K92317137,SW620,10.0,6.0,,
FUS_P525L_homoz,17,0.0474,curcubitacin I,BRD-A28105619,VCAP,10.0,6.0,,
FUS_P525L_homoz,18,0.0474,PX12,BRD-A56592690,VCAP,30.0,6.0,,
FUS_P525L_homoz,19,0.0474,Chemistry 2804,BRD-K74402642,VCAP,10.0,6.0,,
FUS_P525L_homoz,20,0.0474,"""""""4-[(1-methyl-2-oxo-1,2-dihydroquinolin-4-yl)oxy]-N-(4-methylpyridin-2-yl)butanamide""""""",BRD-K84203638,A549,10.0,24.0,,
FUS_P525L_homoz,21,0.0474,5846833,BRD-A27640568,A375,10.0,6.0,,
FUS_P525L_homoz,22,0.0474,-666,BRD-U86922168,PC3,10.0,6.0,,
FUS_P525L_homoz,23,0.0474,-666,BRD-A55594068,NPC,10.0,24.0,,
FUS_P525L_homoz,24,0.0474,-666,BRD-A60414806,NPC,10.0,24.0,,
FUS_P525L_homoz,25,0.0474,CGP-60474,BRD-K79090631,A549,3.33,24,,
FUS_P525L_homoz,26,0.0474,WZ-3105,BRD-K92571446,HCC515,10,24,,
FUS_P525L_homoz,27,0.0474,PF-562271,BRD-K99545815,LNCAP,10,24,,
FUS_P525L_homoz,28,0.0474,withaferin-a,BRD-K88378636,MCF7,10,24,,
FUS_P525L_homoz,29,0.0474,GSK-2126458,BRD-K42918627,SKBR3,0.37,24,,
FUS_P525L_homoz,30,0.0474,CGP-60474,BRD-K79090631,HT29,0.04,24,,
FUS_P525L_homoz,31,0.0427,CPT 11,BRD-K08547377,VCAP,10.0,24.0,,
FUS_P525L_homoz,32,0.0427,PALDA,BRD-K21064560,VCAP,10.0,24.0,,
FUS_P525L_homoz,33,0.0427,CGK 733,BRD-A50737080,HA1E,10.0,6.0,,
FUS_P525L_homoz,34,0.0427,TENIPOSIDE,BRD-A35588707,A375,10.0,6.0,,
FUS_P525L_homoz,35,0.0427,528116.cdx,BRD-K49371609,A549,0.09,24.0,,
FUS_P525L_homoz,36,0.0427,-666,BRD-K04853698,CORL23,10.0,6.0,,
FUS_P525L_homoz,37,0.0427,-666,BRD-A81541225,HEPG2,10.0,6.0,,
FUS_P525L_homoz,38,0.0427,auranofin,BRD-A79465854,HT115,10.0,6.0,,
FUS_P525L_homoz,39,0.0427,3-(piperidin-1-yl)propyl-4-amino-5-chloro-2methoxybenzoate . Hydrochloride,BRD-K01868942,HT115,160.0,6.0,,
FUS_P525L_homoz,40,0.0427,YM-155,BRD-K76703230,SKMEL28,0.31,6.0,,
FUS_P525L_homoz,41,0.0427,manumycin A,BRD-A77216878,VCAP,10.0,6.0,,
FUS_P525L_homoz,42,0.0427,NCGC00188740-01,BRD-K63770300,A375,10.0,24.0,,
FUS_P525L_homoz,43,0.0427,NCGC00238536-01,BRD-A63949900,HEPG2,10.0,6.0,,
FUS_P525L_homoz,44,0.0427,-666,BRD-K48654774,HEPG2,10.0,6.0,,
FUS_P525L_homoz,45,0.0427,trichostatin A,BRD-A19037878,VCAP,10.0,6.0,,
FUS_P525L_homoz,46,0.0427,"2-Dichloromethyl-4-ethylsulfanyl-6-phenyl-[1,3,5]triazine MLS-0208612.0001",BRD-K53932786,A375,10.0,6.0,,
FUS_P525L_homoz,47,0.0427,-666,BRD-K81795824,A375,10.0,6.0,,
FUS_P525L_homoz,48,0.0427,-666,BRD-K83336168,A549,10.0,24.0,,
FUS_P525L_homoz,49,0.0427,-666,BRD-K09854848,PC3,10.0,6.0,,
FUS_P525L_homoz,50,0.0427,GR-231,BRD-K61480498,HEPG2,10.0,6.0,,
TARDBP_M337V,1,0.0616,Salermide,BRD-A67788537,A549,120.0,6.0,,
TARDBP_M337V,2,0.0616,CGP-60474,BRD-K79090631,A549,0.37,24,,
TARDBP_M337V,3,0.0616,CGP-60474,BRD-K79090631,A549,3.33,24,,
TARDBP_M337V,4,0.0616,PF-562271,BRD-K99545815,A549,10,24,,
TARDBP_M337V,5,0.0616,BMS-387032,BRD-K43389698,A549,0.37,24,,
TARDBP_M337V,6,0.0569,Etoposide,BRD-A18419789,A375,10.0,6.0,,
TARDBP_M337V,7,0.0569,MENADIONE,BRD-K78126613,VCAP,10.0,24.0,,
TARDBP_M337V,8,0.0569,-666,BRD-K04853698,VCAP,10.0,6.0,,
TARDBP_M337V,9,0.0569,-666,BRD-K63606607,A549,10.0,24.0,,
TARDBP_M337V,10,0.0569,withaferin-a,BRD-K88378636,MCF10A,10,24,,
TARDBP_M337V,11,0.0569,CGP-60474,BRD-K79090631,LNCAP,3.33,24,,
TARDBP_M337V,12,0.0569,AT-7519,BRD-K13390322,LNCAP,3.33,24,,
TARDBP_M337V,13,0.0569,CGP-60474,BRD-K79090631,HT29,0.04,24,,
TARDBP_M337V,14,0.0521,MK-0591,BRD-K39503511,A549,80.0,24.0,,
TARDBP_M337V,15,0.0521,NICLOSAMIDE,BRD-K35960502,A549,10.0,6.0,,
TARDBP_M337V,16,0.0521,PERHEXILINE MALEATE,BRD-A19633847,HA1E,10.0,24.0,,
TARDBP_M337V,17,0.0521,"Ingenol 3, 20-dibenzoate",BRD-A52650764,NCIH596,10.0,6.0,,
TARDBP_M337V,18,0.0521,MST- 312,BRD-K19894101,PC3,11.1,24.0,,
TARDBP_M337V,19,0.0521,-666,BRD-K04853698,PC3,10.0,6.0,,
TARDBP_M337V,20,0.0521,Dorsomorphin dihydrochloride,BRD-K54233340,U937,10.0,6.0,,
TARDBP_M337V,21,0.0521,vorinostat,BRD-K81418486,PC3,10.0,6.0,,
TARDBP_M337V,22,0.0521,7241-4207,BRD-K69852452,MCF7,10.0,6.0,,
TARDBP_M337V,23,0.0521,nilotinib,BRD-K81528515,A549,10,24,,
TARDBP_M337V,24,0.0521,CGP-60474,BRD-K79090631,HT29,0.37,24,,
TARDBP_M337V,25,0.0521,AT-7519,BRD-K13390322,HT29,1.11,24,,
TARDBP_M337V,26,0.0521,CGP-60474,BRD-K79090631,LNCAP,1.11,24,,
TARDBP_M337V,27,0.0521,CGP-60474,BRD-K79090631,LNCAP,0.12,24,,
TARDBP_M337V,28,0.0521,JNK-9L,BRD-K19220233,MCF7,3.33,24,,
TARDBP_M337V,29,0.0521,PHA-793887,BRD-K64800655,MCF7,10,24,,
TARDBP_M337V,30,0.0521,BMS-387032,BRD-K43389698,PC3,10,24,,
TARDBP_M337V,31,0.0521,BMS-345541,BRD-K13566078,SKBR3,10,24,,
TARDBP_M337V,32,0.0474,cercosporin,BRD-A78360835,HT29,10.0,24.0,,
TARDBP_M337V,33,0.0474,DL-PDMP,BRD-K05653692,A549,64.0,24.0,,
TARDBP_M337V,34,0.0474,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,A549,10.0,6.0,,
TARDBP_M337V,35,0.0474,GW405833 hydrochloride,BRD-K10705233,HT115,40.0,6.0,,
TARDBP_M337V,36,0.0474,LY-2183240,BRD-K37865504,HT29,10.0,24.0,,
TARDBP_M337V,37,0.0474,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,24.0,,
TARDBP_M337V,38,0.0474,gemcitabine,BRD-K15108141,MCF7,0.08,24.0,,
TARDBP_M337V,39,0.0474,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,6.0,,
TARDBP_M337V,40,0.0474,MENADIONE,BRD-K78126613,OV7,10.0,6.0,,
TARDBP_M337V,41,0.0474,YM-155,BRD-K76703230,SKMEL28,0.31,6.0,,
TARDBP_M337V,42,0.0474,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,THP1,10.0,6.0,,
TARDBP_M337V,43,0.0474,S1130,BRD-K24681473,HT29,10.0,6.0,,
TARDBP_M337V,44,0.0474,-666,BRD-K77908580,PC3,10.0,6.0,,
TARDBP_M337V,45,0.0474,HY-11001,BRD-K64800655,MCF7,10.0,24.0,,
TARDBP_M337V,46,0.0474,F1566-0341,BRD-K69852452,MCF7,10.0,6.0,,
TARDBP_M337V,47,0.0474,KM 00927,BRD-K85493820,VCAP,10.0,24.0,,
TARDBP_M337V,48,0.0474,-666,BRD-K35708212,A549,10.0,6.0,,
TARDBP_M337V,49,0.0474,-666,BRD-A46747628,A549,10.0,6.0,,
TARDBP_M337V,50,0.0474,-666,BRD-A71459254,A549,10.0,6.0,,
SHARED_MN,1,0.1594,"Ingenol 3, 20-dibenzoate",BRD-A52650764,MCF7,10.0,6.0,,
SHARED_MN,2,0.1449,-666,BRD-K47869605,MCF7,10.0,24.0,,
SHARED_MN,3,0.1449,-666,BRD-K91145395,MCF7,10.0,6.0,,
SHARED_MN,4,0.1304,Narciclasine,BRD-K06792661,A549,10.0,6.0,,
SHARED_MN,5,0.1304,ABT-751,BRD-K91623615,MCF7,10.0,24.0,,
SHARED_MN,6,0.1304,"""""""4-[(1-methyl-2-oxo-1,2-dihydroquinolin-4-yl)oxy]-N-(4-methylpyridin-2-yl)butanamide""""""",BRD-K84203638,A549,10.0,24.0,,
SHARED_MN,7,0.1304,-666,BRD-K48654774,HEPG2,10.0,6.0,,
SHARED_MN,8,0.1304,S1130,BRD-K24681473,HT29,10.0,6.0,,
SHARED_MN,9,0.1304,-666,BRD-K63606607,A549,10.0,24.0,,
SHARED_MN,10,0.1304,BMS-387032,BRD-K43389698,LNCAP,1.11,24,,
SHARED_MN,11,0.1304,torin-1,BRD-K40175214,PC3,1.11,24,,
SHARED_MN,12,0.1159,Narciclasine,BRD-K06792661,HCC15,10.0,6.0,,
SHARED_MN,13,0.1159,PERHEXILINE MALEATE,BRD-A19633847,SNUC5,10.0,6.0,,
SHARED_MN,14,0.1159,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,SW948,10.0,6.0,,
SHARED_MN,15,0.1159,2-Chloro-N-heptyl-N-m-tolyl-acetamide,BRD-K19499941,A549,10.0,24.0,,
SHARED_MN,16,0.1159,VU0415113-1,BRD-K49183052,HEPG2,10.0,6.0,,
SHARED_MN,17,0.1159,S1176,BRD-K99498722,HEPG2,10.0,6.0,,
SHARED_MN,18,0.1159,F1566-0341,BRD-K69852452,MCF7,10.0,6.0,,
SHARED_MN,19,0.1159,-666,BRD-K91370081,A549,10.0,6.0,,
SHARED_MN,20,0.1159,-666,BRD-A93236127,A549,10.0,24.0,,
SHARED_MN,21,0.1159,-666,BRD-A94756469,A549,10.0,24.0,,
SHARED_MN,22,0.1159,WZ-3105,BRD-K92571446,HCC515,0.37,24,,
SHARED_MN,23,0.1159,PLX-4720,BRD-K16478699,HEPG2,10,24,,
SHARED_MN,24,0.1159,PF-562271,BRD-K99545815,LNCAP,10,24,,
SHARED_MN,25,0.1159,JNK-9L,BRD-K19220233,LNCAP,3.33,24,,
SHARED_MN,26,0.1159,PI-103,BRD-K67868012,PC3,0.37,24,,
SHARED_MN,27,0.1014,Anisomycin,BRD-K91370081,HCC515,10.0,6.0,,
SHARED_MN,28,0.1014,NOCODAZOLE,BRD-K12539581,HEPG2,10.0,6.0,,
SHARED_MN,29,0.1014,manumycin A,BRD-K78599730,A375,10.0,24.0,,
SHARED_MN,30,0.1014,Etoposide,BRD-A18419789,A375,10.0,6.0,,
SHARED_MN,31,0.1014,PERIPLOCYMARIN,BRD-A45333398,A549,10.0,6.0,,
SHARED_MN,32,0.1014,gemcitabine,BRD-K15108141,A375,0.08,24.0,,
SHARED_MN,33,0.1014,Importazole,BRD-A02481876,A549,60.0,6.0,,
SHARED_MN,34,0.1014,Ro 28-1675 ?,BRD-K21672174,A549,160.0,6.0,,
SHARED_MN,35,0.1014,Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HA1E,80.0,6.0,,
SHARED_MN,36,0.1014,Emetine Dihydrochloride Hydrate (74),BRD-K01976263,HCC515,0.63,6.0,,
SHARED_MN,37,0.1014,YM-155,BRD-K76703230,PC3,0.31,24.0,,
SHARED_MN,38,0.1014,Narciclasine,BRD-K06792661,PC3,10.0,6.0,,
SHARED_MN,39,0.1014,YM-155,BRD-K76703230,SKMEL28,0.31,6.0,,
SHARED_MN,40,0.1014,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,SW620,10.0,6.0,,
SHARED_MN,41,0.1014,-666,BRD-K75477256,HEPG2,10.0,6.0,,
